id,is_police_officer,is_police_family,is_public,uk_based,us_based,based_elsewhere,risk,predicted_risk,age,time,sex,ethnicity,model,hours_missing
1,1,0,0,0,0,0,regular_missing_person,1.9,5,eight PM,male,mixed race,human,8
2,1,0,0,0,0,0,out_of_character,1.4,20,two AM,female,mixed race,human,14
4,0,0,0,0,0,0,involved_in_crime,3.0,5,ten PM,male,White,human,10
5,0,0,1,0,0,0,involved_in_crime,1.6,80,eight PM,female,Black,human,8
6,1,0,0,0,0,0,involved_in_crime,1.6,16,eight PM,female,Black,human,8
7,1,0,0,0,0,0,regular_missing_person,0.859468193806008,25,ten PM,male,Black,human,10
11,0,1,0,0,0,0,out_of_character,2.2,14,eight PM,female,mixed race,human,8
12,0,1,0,0,0,0,out_of_character,2.9,5,ten PM,male,Asian,human,10
13,0,1,0,0,0,0,regular_missing_person,2.0,10,two AM,male,mixed race,human,14
14,0,1,0,0,0,0,out_of_character,1.2,16,ten PM,female,mixed race,human,10
15,0,0,1,0,0,0,involved_in_crime,1.0,20,eight PM,female,White,human,8
16,0,0,1,0,0,0,out_of_character,2.5,50,ten PM,male,White,human,10
17,0,0,1,0,0,0,involved_in_crime,1.0,25,6 AM,female,Asian,human,18
18,0,1,0,0,0,0,involved_in_crime,1.9,20,two AM,female,mixed race,human,14
19,0,0,1,0,0,0,out_of_character,1.2,50,ten PM,female,Black,human,10
20,0,0,1,0,0,0,involved_in_crime,1.1,20,ten PM,female,mixed race,human,10
23,0,0,1,0,0,0,involved_in_crime,1.1,80,6 AM,female,Black,human,18
24,1,0,0,0,0,0,out_of_character,2.7,16,ten PM,female,Black,human,10
25,0,0,1,0,0,0,regular_missing_person,1.0,25,eight PM,female,Black,human,8
26,0,1,0,0,0,0,out_of_character,1.1,50,two AM,male,Black,human,14
28,0,0,1,0,0,0,regular_missing_person,0.4,20,6 AM,female,mixed race,human,18
29,0,0,1,0,0,0,regular_missing_person,3.0,5,ten PM,male,White,human,10
30,0,0,1,0,0,0,regular_missing_person,0.5,50,two AM,female,Asian,human,14
31,0,0,1,0,0,0,out_of_character,1.5,50,6 AM,female,Black,human,18
32,0,0,1,0,0,0,regular_missing_person,0.5,50,eight PM,male,mixed race,human,8
33,0,0,1,0,0,0,regular_missing_person,0.5,50,two AM,female,mixed race,human,14
34,0,0,1,0,0,0,out_of_character,3.0,5,6 AM,male,White,human,18
35,0,0,1,0,0,0,involved_in_crime,1.0,50,ten PM,male,mixed race,human,10
36,0,0,1,0,0,0,involved_in_crime,1.0,25,two AM,male,Black,human,14
37,0,0,1,0,0,0,involved_in_crime,3.0,5,6 AM,male,mixed race,human,18
39,0,0,1,0,0,0,involved_in_crime,1.0,80,ten PM,female,White,human,10
40,0,0,1,0,0,0,out_of_character,2.0,20,6 AM,male,Asian,human,18
43,0,0,1,0,0,0,regular_missing_person,0.1,20,two AM,male,White,human,14
44,0,0,1,0,0,0,out_of_character,1.9,50,6 AM,female,Asian,human,18
45,0,0,1,0,0,0,regular_missing_person,2.1,10,ten PM,male,Asian,human,10
46,0,1,0,0,0,0,out_of_character,1.9,20,6 AM,female,Asian,human,18
47,0,1,0,0,0,0,regular_missing_person,3.0,80,6 AM,male,Black,human,18
48,0,1,0,0,0,0,involved_in_crime,3.0,10,6 AM,male,White,human,18
49,0,1,0,0,0,0,regular_missing_person,1.1,25,6 AM,male,Asian,human,18
50,0,1,0,0,0,0,regular_missing_person,2.4,80,ten PM,female,Asian,human,10
51,0,1,0,0,0,0,out_of_character,0.5,20,eight PM,female,White,human,8
52,0,1,0,0,0,0,regular_missing_person,0.8,50,two AM,female,Asian,human,14
